cf,denominazione,url_trasparenza,categoria,raggiungibile,errore,disposizioni_generali,organizzazione,consulenti,personale,selezione_personale,bandi_contratti,sovvenzioni,bilanci,beni_immobili,controlli,pagamenti,accesso_civico,privacy,categorie_trovate,score
02220830349,SO.G.I.S. S.R.L.,http://ww2.gazzettaamministrativa.it/opencms/opencms/_gazzetta_amministrativa/amministrazione_trasparente/_emilia_romagna/_societa___fidenza_sport_srl/,controllo_pubblico,False,[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1010),,,,,,,,,,,,,,0,0
02293460420,SOCIETA' AGRICOLA AGRICOM S.R.L. IN LIQUIDAZIONE,http://www.comune.fabriano.an.it/amministrazione-trasparente,controllo_pubblico,False,[Errno -2] Name or service not known,,,,,,,,,,,,,,0,0
01586310938,SOCIALTEAM SRL,https://socialteam.it/societa-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
02745530929,SO.MI.CA. S.P.A.,https://somica.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
05167541217,SOCIETA' ACQUA PROCIDA S.A.P. S.R.L.,http://sapacquaprocida.it/amministrazione-trasparente,controllo_pubblico,True,,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,SI,4,30.8
01960070926,SOCIETA' GESTIONE AEROPORTO S.P.A.                                                                                                               SIGLA: SO.G.AER. S.P.A.                                                         SIGLA: CAGLIARI AIRPORT S.P.A.,https://sogaer.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
01310930324,SOCIETA' AUTOSTRADE ALTO ADRIATICO S.P.A.,https://www.autostradealtoadriatico.it/societa-trasparente/disposizioni-generali/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
01724200504,SOCIETA' DELLE ENTRATE PISA S.P.A. IN FORMA ABBREVIATA S.E.PI S.P.A.,https://www.sepi-pisa.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
01764970792,SOCIETA' AEROPORTUALE CALABRESE - S.P.A. (S.A.CAL. S.P.A.),https://www.sacal.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
01034290252,SOCIETA' INFORMATICA TERRITORIALE SRL,https://www.sitbelluno.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
00098290323,SOCIETA' PER AZIONI AUTOVIE VENETE (S.A.A.V.) - IN LIQUIDAZIONE,https://www.autovie.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
00206010928,SOCIETA' FINANZIARIA REGIONE SARDEGNA - S.P.A.,https://www.sfirs.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
05344720486,"SOCIETA' CONSORTILE ENERGIA TOSCANA, SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA",https://lnx.consorzioenergiatoscana.it/cet/trasparenza/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
01671350682,SOCIETA' INTERCOMUNALE GAS S.P.A.,https://amministrazionetrasparente.w2s.it/?s=sigspa,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0.0
02345670307,SOCIETA' FERROVIE UDINE - CIVIDALE S. A R.L.,https://www.ferrovieudinecividale.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
09740180014,SOCIETA' DI COMMITTENZA REGIONE PIEMONTE S.P.A. SIGLABILE        S.C.R. - PIEMONTE S.P.A.,https://trasparenza.scr.piemonte.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,12,92.3
01648950226,SOCIETA' MULTISERVIZI ROVERETO S.R.L.,https://smr-tn.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
05397401000,SOCIETA' PER LA REALIZZAZIONE DELLE METROPOLITANE DELLA CITTA' DIROMA A R.L. IN FORMA ABBREVIATA 'ROMA METROPOLITANE S.R.L.'                     IN LIQUIDAZIONE,https://romametropolitane.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
03791600046,SOCIETA' MONREGALESE AMBIENTE - SOCIETA' CONSORTILE              A RESPONSABILITA' LIMITATA,società trasparente,controllo_pubblico,False,unknown url type: '/societ%C3%A0%20trasparente',,,,,,,,,,,,,,0,0
02201090368,SOCIETA' EMILIANA TRASPORTI AUTOFILOVIARI S.P.A.,https://setaweb.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
06830230014,SOCIETA' CANAVESANA SERVIZI S.P.A.,https://www.scsivrea.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
03168260044,SOCIETA' INTERCOMUNALE SERVIZI IDRICI S.R.L.                     SIGLABILE 'SISI S.R.L.',http://ato4cuneese.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
03516950155,SOCIETA' PER L'IMPIANTO E L'ESERCIZIO DEI MERCATI ANNONARI ALL'INGROSSO DI MILANO SO.GE.M.I. - S.P.A.,https://www.sogemispa.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
01485710691,SOCIETA' ABRUZZESE PER SERVIZIO IDRICO INTEGRATO SPA - IN BREVE  S.A.S.I. - S.P.A.,https://www.sasispa.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
02734620848,SOCIETA' PER LA REGOLAMENTAZIONE DEL SERVIZIO DI GESTIONE RIFIUTIA.T.O. N.4 AGRIGENTO PROVINCIA EST,http://ww2.gazzettaamministrativa.it/opencms/opencms/_gazzetta_amministrativa/amministrazione_trasparente/_sicilia/_societa___per_la_regolamentazione_del_servizio_di_gestione_rifiuti_ato_4_agrigento_provincia_est,controllo_pubblico,False,[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1010),,,,,,,,,,,,,,0,0
05103780879,SOCIETA' PER LA REGOLAMENTAZIONE DEL SERVIZIO DI GESTIONE RIFIUTIS.R.R. CATANIA                                                                  SIGLA 'S.R.R. CATANIA AREA METROPOLITANA',https://www.srrcataniametropolitana.it/wp-content/plugins/amministrazione-trasparente/includes/css/gutenberg-page-widget.css?ver=1781762199,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0.0
09000640012,SOCIETA' RISCOSSIONI S.P.A. SIGLABILE SORIS S.P.A.,https://soris-torino.portaletrasparenza.net/dettagli/concorsi/26/esito-selezione-pubblica-per-titoli-ed-esami-per-l-assunzione-con-rapporto-di-lavoro-subordinato-a-tempo-indeterminato-di-due-responsabili-nell-area-riscossione-coattiva.html,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
06258150827,SOCIETA' PER LA REGOLAMENTAZIONE DEL SERVIZIO DI GESTIONE RIFIUTIPALERMO PROVINCIA EST SOCIETA' CONSORTILE PER AZIONI,https://srrpalermoprovinciaest.accessopa.it/societa-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
01897400857,SOCIETA' PER LA REGOLAMENTAZIONE DEL SERVIZIO DI GESTIONE RIFIUTIA.T.O. N.3 CALTANISSETTA PROVINCIA NORD,amministrazione trasparente,controllo_pubblico,False,unknown url type: '/amministrazione%20trasparente',,,,,,,,,,,,,,0,0
00515910545,SOCIETA' PER IL POTENZIAMENTO E LA GESTIONE                      DELL'AEROPORTO REGIONALE UMBRO DI S.EGIDIO S.P.A.                               IN FORMA ABBREVIATA S.A.S.E. S.P.A.,https://www.airport.umbria.it/corporate/trasparenza/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
01201410865,SOCIETA' PER LA REGOLAMENTAZIONE DEL SERVIZIO DI GESTIONE RIFIUTIA.T.O. 6 - ENNA SOCIETA' CONSORTILE PER AZIONI,societ&agrave; trasparente,controllo_pubblico,False,unknown url type: '/societ&agrave;%20trasparente',,,,,,,,,,,,,,0,0
00288240690,SOCIETA' UNICA ABRUZZESE DI TRASPORTO S.P.A. UNIPERSONALE,https://tuabruzzo.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
08866890158,SOCIETA' PER IL PATRIMONIO IMMOBILIARE - S.P.IM. - S.P.A.,https://www.spimgenova.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
01907590978,SOCIETA' RISORSE SOCIETA' PER AZIONI                             IN FORMA ABBREVIATA SO. RI. S.P.A.,societ&agrave; trasparente,controllo_pubblico,False,unknown url type: '/societ&agrave;%20trasparente',,,,,,,,,,,,,,0,0
03419220243,SOCIETA' VICENTINA TRASPORTI A RESPONSABILITA' LIMITATA          IN FORMA ABBREVIATA SVT S.R.L.,https://www.svt.vi.it/societa-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,12,92.3
06269510829,SOCIETA' PER LA REGOLAMENTAZIONE DEL SERVIZIO DI GESTIONE RIFIUTIPALERMO AREA METROPOLITANA SOCIETA' CONSORTILE PER AZIONI                       IN SIGLA  'S.R.R. PALERMO AREA METROPOLITANA S.C.P.A.',https://srrpalermo.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
01367680996,SOCIETA' PER CORNIGLIANO S.P.A.,https://www.percornigliano.it/ammtrasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
16406341004,SOCIETA' INFRASTRUTTURE MILANO CORTINA 2020-2026 S.P.A.,https://www.simico.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
05033290874,SOCIETA' PER LA REGOLAMENTAZIONE DEL SERVIZIO DI GESTIONE RIFIUTIS.R.R. CATANIA PROVINCIA NORD - SOCIETA' CONSORTILE PER AZIONI,https://www.srrcatanianord.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
02412060127,SOMMA PATRIMONIO E SERVIZI S.R.L.,https://www.spes-srl.org/docs/amministrazione-trasparente-piscina/,controllo_pubblico,True,,NO,SI,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,3,23.1
04681091007,SOGESID S.P.A.,https://www.sogesid.it/it/societa-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
02177670649,SOLOFRA SERVIZI S.P.A.,società trasparente,controllo_pubblico,False,unknown url type: '/societ%C3%A0%20trasparente',,,,,,,,,,,,,,0,0
03279530830,"SOCIETA' PER LA REGOLAMENTAZIONE DEL SERVIZIO DI GESTIONE RIFIUTIMESSINA PROVINCIA,SOCIETA' CONSORTILE PER AZIONI                                SIGLA: S.R.R. MESSINA PROVINCIA SOCIETA' CONSORTILE S.P.A.",https://www.srrmessinaprovincia.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
03079180364,SORGEAQUA S.R.L.,https://www.sorgeaqua.it/wp-content/plugins/aitec-societa-trasparente/css/style.css?ver=7.0,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0.0
02701751204,SOLARIS S.R.L.,https://www.solaris.srl/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
03836450407,START ROMAGNA S.P.A.,https://www.startromagna.it/societatrasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
00112550744,SOCIETA' TRASPORTI PUBBLICI BRINDISI S.P.A.,https://www.stpbrindisi.it/index.php/azienda/societa-trasparente,controllo_pubblico,True,,NO,SI,NO,SI,NO,SI,NO,SI,NO,NO,NO,NO,SI,5,38.5
02174950697,SOCIETA' RISCOSSIONI COMUNALI S.R.L.,https://www.riscosrl.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
03690180488,STRUTTURA VALLE D'AOSTA S.R.L IN FRANCESE VALLEE D'AOSTE         STRUCTURE S.A.R.L.,https://svda.portaletrasparenza.net/it,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
01328110380,SOELIA S.P.A.,http://www.soelia.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
06983211217,SVILUPPO CAMPANIA S.P.A.,https://amministrazione-trasparente.sviluppocampania.it/index.php/category/albi-delle-competenze,controllo_pubblico,True,,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,3,23.1
01222120113,SPEZIA RISORSE - S.P.A.,https://www.speziarisorse.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
07207761003,SPORT E SALUTE S.P.A.,https://www.sportesalute.eu/societa-trasparente.html,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
